Date,Open,High,Low,Close,Volume,Market Cap
Jul-07-2021,34220.71216933979,34955.62,33861.407403545745,33867.4651242288,57955368704,647785958079.9614
Jun-07-2021,35827.5,36782.91,33550.00408032163,33550.00408032163,51875832504.888885,671980076063.1576
May-08-2021,57336.81,59430.905838741,57008.19,58711.172030754,96516445928.84605,1093435833061.5577
Apr-08-2021,55872.863775655,58087.980725351,55819.741035944,58019.88,104686589216.23338,1067929892061.7366
Mar-09-2021,52265.016204683,54839.979170391,51976.019157041,54759.461685978,117158259798.89163,1006047046299.8694
Feb-07-2021,39260.740661719,39654.670372592,37389.634955593,38888.638236331,102991144866.25604,720053161966.9513
Jan-08-2021,39437.44033739,41849.906402124,36711.862224526,40703.290535401,172295440554.826,739499799350.0328
Dec-09-2020,18328.8917672,18624.633202136,17656.943459076,18569.987699691,51894238233.16762,339169288875.3209
Nov-09-2020,15478.313162689,15798.201003642,14836.543568078,15326.156847868,39301152286.42476,284840712675.19946
Oct-10-2020,11050.675887512,11463.743640155,11050.675887512,11294.994190302,23905936788.754456,209734341242.70096
Sep-10-2020,10222.607116174,10464.140794506,10222.607116174,10334.638647185,32645377052.380928,190999091019.74768
Aug-11-2020,11885.451397024,11927.491912685,11185.182121576,11395.405816094,37908458366.05912,214723636951.70358
Jul-12-2020,9230.979937074,9313.256344017,9187.861566553,9286.726084869,11952544232.061485,170437661039.546
Jun-12-2020,9304.399497146,9538.688427765,9263.997892042,9460.375484512,28635953787.937714,173363490989.63516
May-13-2020,8804.984468115,9363.647602379,8804.984468115,9302.896540995,34610987892.58701,165909204204.7997
Apr-13-2020,6925.828475568,6925.828475568,6651.14095836,6837.422539886,31953029026.479736,123588123155.13097
Mar-14-2020,5585.038431457,5611.99197394,5120.784387384,5212.979297886,41904880597.15357,97722102309.6672
Feb-13-2020,10313.911197328,10458.550677107,10104.987970682,10225.415261826,40279999808.96401,185753452118.88403
Jan-14-2020,8106.521950326,8844.280645076,8106.521950326,8838.564861799,30880804631.850952,154877884753.05545
Dec-15-2019,7072.383784552,7155.337433254,7026.94612641,7120.922417547,14644394191.144522,128334682120.02686
Nov-15-2019,8659.294177669,8726.808562554,8450.8778637,8474.539001785,19571089078.109665,154556646136.22693
Oct-16-2019,8174.179979422,8182.888776279,7951.452173756,8008.809279101,14890138553.348158,145295635926.09564
Sep-16-2019,10314.929924681,10362.122494313,10147.911922248,10268.657984963,13123396167.392437,184132942454.58536
